Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-29T14:51:43.972Z","pro-free-trial","auto","No","5096","0","677120","1407","683623","0.18"
"2025-09-29T14:44:14.245Z","pro-free-trial","auto","No","88290","0","564992","1440","654722","0.26"
"2025-09-29T14:29:08.381Z","pro-free-trial","auto","No","7457","0","214528","3848","225833","0.09"
"2025-09-29T14:23:43.907Z","pro-free-trial","auto","No","9204","0","287232","2093","298529","0.10"
"2025-09-29T14:08:25.738Z","pro-free-trial","auto","No","12218","0","253440","3911","269569","0.10"
"2025-09-29T13:52:16.068Z","pro-free-trial","auto","No","1321","0","179968","537","181826","0.05"
"2025-09-29T13:50:19.874Z","pro-free-trial","auto","No","5275","0","352256","558","358089","0.10"
"2025-09-29T13:44:29.777Z","pro-free-trial","auto","No","7119","0","1027328","2466","1036913","0.28"
"2025-09-29T13:32:07.696Z","pro-free-trial","auto","No","13992","0","4446720","3242","4463954","1.15"
"2025-09-29T13:28:52.148Z","pro-free-trial","auto","No","5693","0","850688","2558","858939","0.24"
"2025-09-29T13:20:52.489Z","pro-free-trial","auto","No","5343","0","511232","1575","518150","0.14"
"2025-09-29T13:14:47.223Z","pro-free-trial","auto","No","8501","0","674048","2416","684965","0.19"
"2025-09-29T13:13:01.057Z","pro-free-trial","auto","No","8806","0","365056","1171","375033","0.11"
"2025-09-29T13:09:14.744Z","pro-free-trial","auto","No","81409","4608","928612","4250","1018879","0.37"
"2025-09-29T13:07:15.285Z","pro-free-trial","auto","No","64697","6470","682743","4791","758701","0.29"
"2025-09-29T13:04:36.360Z","pro-free-trial","auto","No","39852","0","52992","226","93070","0.06"
"2025-09-29T12:49:00.484Z","Errored, Not Charged","auto","No","3239","0","250368","393","254000","0.07"
"2025-09-29T12:48:15.568Z","pro-free-trial","auto","No","3934","0","390656","1442","396032","0.11"
"2025-09-29T12:47:07.436Z","pro-free-trial","auto","No","4693","0","433408","1744","439845","0.12"
"2025-09-29T12:45:52.503Z","pro-free-trial","auto","No","5487","0","424448","1964","431899","0.12"
"2025-09-29T12:43:38.409Z","pro-free-trial","auto","No","26103","82768","1417472","12280","1538623","0.56"
"2025-09-29T12:42:12.725Z","pro-free-trial","auto","No","7951","0","1255936","1409","1265296","0.33"
"2025-09-29T12:40:57.040Z","pro-free-trial","auto","No","4250","0","1301760","1459","1307469","0.34"
"2025-09-29T12:39:54.614Z","pro-free-trial","auto","No","3963","0","976384","1273","981620","0.26"
"2025-09-29T12:38:35.914Z","pro-free-trial","auto","No","7132","0","1507072","2015","1516219","0.40"
"2025-09-29T12:36:55.278Z","pro-free-trial","auto","No","7965","0","1880064","1999","1890028","0.49"
"2025-09-29T12:34:55.081Z","pro-free-trial","auto","No","117979","1585","1775344","2833","1897741","0.61"
"2025-09-29T12:32:39.410Z","pro-free-trial","auto","No","11428","0","2368768","2502","2382698","0.62"
"2025-09-29T12:30:18.564Z","pro-free-trial","auto","No","10151","0","1345280","2342","1357773","0.36"
"2025-09-29T12:26:02.421Z","pro-free-trial","auto","No","13401","0","1440256","6448","1460105","0.42"
"2025-09-29T12:22:03.501Z","pro-free-trial","auto","No","19583","0","1703936","4495","1728014","0.48"
"2025-09-29T12:20:44.891Z","pro-free-trial","auto","No","7907","0","493312","3113","504332","0.15"
"2025-09-29T12:20:38.147Z","pro-free-trial","auto","No","1786","0","69632","196","71614","0.02"
"2025-09-29T12:20:18.704Z","pro-free-trial","auto","No","3213","0","199168","772","203153","0.06"
"2025-09-29T12:19:33.511Z","pro-free-trial","auto","No","5028","0","176384","1661","183073","0.06"
"2025-09-29T12:18:58.965Z","pro-free-trial","auto","No","2790","0","50432","1575","54797","0.03"
"2025-09-29T12:09:14.307Z","pro-free-trial","auto","No","15943","105663","116736","7336","245678","0.23"
"2025-09-29T12:06:37.299Z","pro-free-trial","auto","No","2390","0","224768","502","227660","0.06"
"2025-09-29T12:06:08.564Z","pro-free-trial","auto","No","1138","0","111104","469","112711","0.03"
"2025-09-29T12:05:11.447Z","pro-free-trial","auto","No","5199","0","436224","1126","442549","0.12"
"2025-09-29T12:00:22.641Z","Aborted, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-09-29T11:57:42.702Z","pro-free-trial","auto","No","101201","0","941824","2713","1045738","0.38"
"2025-09-29T11:18:24.405Z","pro-free-trial","auto","No","6770","0","1346304","1452","1354526","0.35"
"2025-09-29T11:09:05.693Z","pro-free-trial","auto","No","36409","0","6671616","8897","6716922","1.77"
"2025-09-29T11:08:08.142Z","pro-free-trial","auto","No","4062","0","463104","801","467967","0.13"
"2025-09-29T11:02:58.002Z","pro-free-trial","auto","No","7980","0","930816","1869","940665","0.25"
"2025-09-29T11:01:29.332Z","pro-free-trial","auto","No","3645","0","287232","1498","292375","0.09"
"2025-09-29T10:59:23.608Z","pro-free-trial","auto","No","5319","0","324096","672","330087","0.09"
"2025-09-29T10:55:35.959Z","pro-free-trial","auto","No","24879","0","894720","3780","923379","0.28"
"2025-09-29T10:53:40.711Z","pro-free-trial","auto","No","22383","0","234496","1493","258372","0.10"
"2025-09-28T23:45:06.604Z","pro-free-trial","auto","No","14981","0","1413888","3865","1432734","0.40"
"2025-09-28T23:41:43.921Z","pro-free-trial","auto","No","28698","0","1153792","2925","1185415","0.34"
"2025-09-28T23:34:22.794Z","pro-free-trial","auto","No","18275","0","201728","4416","224419","0.10"
"2025-09-28T23:33:36.610Z","pro-free-trial","auto","No","5443","0","93952","2641","102036","0.05"
"2025-09-28T23:32:19.222Z","pro-free-trial","auto","No","8895","0","67840","3987","80722","0.05"
"2025-09-28T23:31:23.403Z","pro-free-trial","auto","No","8693","0","44544","2414","55651","0.04"
"2025-09-28T23:30:36.133Z","pro-free-trial","auto","No","6554","0","28672","2644","37870","0.03"
"2025-09-28T23:01:56.485Z","pro-free-trial","auto","No","32010","108716","386304","20212","547242","0.39"
"2025-09-28T23:00:00.762Z","Errored, Not Charged","auto","No","8660","0","1616128","1132","1625920","0.42"
"2025-09-28T22:54:06.388Z","pro-free-trial","auto","No","106763","0","2216192","5501","2328456","0.72"
"2025-09-28T21:54:57.135Z","pro-free-trial","auto","No","92600","0","1731584","1259","1825443","0.56"
"2025-09-28T21:44:10.253Z","pro-free-trial","auto","No","33982","0","1150720","5775","1190477","0.36"
"2025-09-28T21:39:42.790Z","pro-free-trial","auto","No","74174","112032","1542912","34718","1763836","0.83"
"2025-09-28T21:27:22.402Z","pro-free-trial","auto","No","3713","0","448256","1374","453343","0.12"
"2025-09-28T21:26:42.584Z","pro-free-trial","auto","No","4006","0","653568","1367","658941","0.18"
"2025-09-28T21:25:55.244Z","pro-free-trial","auto","No","4187","0","421888","1244","427319","0.12"
"2025-09-28T21:24:28.664Z","pro-free-trial","auto","No","4581","0","507904","1627","514112","0.14"
"2025-09-28T21:23:40.309Z","pro-free-trial","auto","No","3709","0","392448","1125","397282","0.11"
"2025-09-28T21:22:13.218Z","pro-free-trial","auto","No","6930","0","1507840","1913","1516683","0.40"
"2025-09-28T21:19:48.925Z","pro-free-trial","auto","No","4494","0","448512","1187","454193","0.12"
"2025-09-28T21:17:21.859Z","pro-free-trial","auto","No","5645","0","1028608","1563","1035816","0.27"
"2025-09-28T21:16:25.563Z","pro-free-trial","auto","No","3396","0","251648","542","255586","0.07"
"2025-09-28T21:15:18.975Z","pro-free-trial","auto","No","77084","0","335616","996","413696","0.19"
"2025-09-28T19:51:54.382Z","pro-free-trial","auto","No","1120","0","161280","132","162532","0.04"
"2025-09-28T19:51:40.682Z","pro-free-trial","auto","No","925","0","79616","198","80739","0.02"
"2025-09-28T19:50:06.343Z","pro-free-trial","auto","No","6607","0","535808","1120","543535","0.15"
"2025-09-28T19:48:25.857Z","pro-free-trial","auto","No","2696","0","444416","510","447622","0.12"
"2025-09-28T19:47:53.993Z","pro-free-trial","auto","No","1344","0","144640","152","146136","0.04"
"2025-09-28T19:47:05.214Z","pro-free-trial","auto","No","1510","0","142080","149","143739","0.04"
"2025-09-28T19:46:47.829Z","pro-free-trial","auto","No","74406","0","164608","200","239214","0.14"
"2025-09-28T19:46:18.381Z","pro-free-trial","auto","No","704","0","140544","152","141400","0.04"
"2025-09-28T19:46:00.368Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-09-28T19:45:22.027Z","pro-free-trial","auto","No","21848","0","186112","387","208347","0.08"
"2025-09-28T19:40:08.571Z","pro-free-trial","auto","No","4509","0","372224","622","377355","0.10"
"2025-09-28T19:39:07.578Z","pro-free-trial","auto","No","3310","0","215552","1013","219875","0.06"
"2025-09-28T19:38:42.841Z","pro-free-trial","auto","No","3206","0","203520","1045","207771","0.06"
"2025-09-28T19:37:57.303Z","pro-free-trial","auto","No","2874","0","192000","999","195873","0.06"
"2025-09-28T19:37:04.988Z","pro-free-trial","auto","No","3872","0","215296","1015","220183","0.06"
"2025-09-28T19:34:39.892Z","pro-free-trial","auto","No","30667","106646","931840","23358","1092511","0.54"
"2025-09-28T19:33:50.758Z","pro-free-trial","auto","No","5033","0","1008896","1258","1015187","0.27"
"2025-09-28T19:33:05.540Z","pro-free-trial","auto","No","4186","0","1198336","1452","1203974","0.31"
"2025-09-28T19:32:15.799Z","pro-free-trial","auto","No","5645","0","1366272","1476","1373393","0.36"
"2025-09-28T19:31:24.607Z","pro-free-trial","auto","No","5515","0","1223680","1299","1230494","0.32"
"2025-09-28T19:30:35.969Z","pro-free-trial","auto","No","5723","0","1172480","1349","1179552","0.31"
"2025-09-28T19:29:01.516Z","pro-free-trial","auto","No","115806","1229","2044025","2809","2163869","0.67"
"2025-09-28T19:27:33.579Z","pro-free-trial","auto","No","11451","1631","1688646","2581","1704309","0.45"
"2025-09-28T19:21:40.068Z","pro-free-trial","auto","No","175298","38842","1966637","18229","2199006","0.87"
"2025-09-28T19:18:16.049Z","pro-free-trial","auto","No","12808","0","3000064","2310","3015182","0.78"
"2025-09-28T19:17:16.707Z","pro-free-trial","auto","No","5949","0","178432","3954","188335","0.08"
"2025-09-28T19:13:20.093Z","pro-free-trial","auto","No","82701","0","742656","13961","839318","0.37"
"2025-09-28T19:10:45.391Z","pro-free-trial","auto","No","24486","0","1070336","11216","1106038","0.37"
"2025-09-28T19:04:30.445Z","pro-free-trial","auto","No","73901","66540","3166720","28090","3335251","1.14"
"2025-09-28T19:01:14.664Z","pro-free-trial","auto","No","16036","0","999936","12864","1028836","0.35"
"2025-09-28T19:00:19.716Z","pro-free-trial","auto","No","10370","0","866560","2137","879067","0.24"
"2025-09-28T18:55:08.984Z","pro-free-trial","auto","No","103778","2190","2407812","4584","2518364","0.76"
"2025-09-28T18:54:16.316Z","pro-free-trial","auto","No","34993","0","582656","2580","620229","0.20"
"2025-09-28T18:48:33.774Z","pro-free-trial","auto","No","101899","103882","4145792","14657","4366230","1.38"
"2025-09-28T18:47:50.390Z","pro-free-trial","auto","No","5641","0","1110784","1188","1117613","0.29"
"2025-09-28T18:46:27.012Z","pro-free-trial","auto","No","12874","0","1434880","4664","1452418","0.40"
"2025-09-28T18:45:19.534Z","pro-free-trial","auto","No","8819","0","2192128","1769","2202716","0.57"
"2025-09-28T18:44:40.628Z","pro-free-trial","auto","No","4178","0","999424","1053","1004655","0.26"
"2025-09-28T18:43:46.359Z","pro-free-trial","auto","No","5823","0","1392384","1323","1399530","0.36"
"2025-09-28T18:41:48.520Z","pro-free-trial","auto","No","6824","0","1314048","1462","1322334","0.35"
"2025-09-28T18:39:21.732Z","pro-free-trial","auto","No","6599","0","307712","1711","316022","0.10"
"2025-09-28T18:37:16.645Z","pro-free-trial","auto","No","12497","0","475136","1415","489048","0.14"
"2025-09-28T18:27:26.445Z","pro-free-trial","auto","No","9647","0","276224","4076","289947","0.11"
"2025-09-28T18:27:07.915Z","pro-free-trial","auto","No","11898","0","155392","5111","172401","0.08"
"2025-09-28T18:26:47.809Z","Errored, Not Charged","auto","No","1689","0","67072","63","68824","0.02"
"2025-09-28T18:21:45.910Z","pro-free-trial","auto","No","60398","0","63744","1525","125667","0.10"
"2025-09-28T18:19:18.511Z","pro-free-trial","auto","No","10719","0","91648","229","102596","0.04"
"2025-09-28T18:18:04.276Z","Errored, Not Charged","auto","No","25","0","40704","59","40788","0.01"
"2025-09-28T18:17:46.314Z","Errored, Not Charged","auto","No","19","0","40704","59","40782","0.01"
"2025-09-28T18:17:29.398Z","Errored, Not Charged","auto","No","267","0","40448","59","40774","0.01"
"2025-09-28T18:17:11.435Z","Errored, Not Charged","auto","No","766","0","39936","58","40760","0.01"
"2025-09-28T18:16:22.205Z","pro-free-trial","auto","No","1295","0","38656","450","40401","0.01"
"2025-09-28T18:14:09.387Z","pro-free-trial","auto","No","12125","0","114944","4536","131605","0.07"
"2025-09-28T18:13:40.677Z","pro-free-trial","auto","No","8025","0","62464","2229","72718","0.04"
"2025-09-28T18:13:04.074Z","pro-free-trial","auto","No","12578","0","61952","2720","77250","0.05"
"2025-09-28T15:27:28.452Z","pro-free-trial","auto","No","80452","2843","399991","3313","486599","0.22"
"2025-09-28T15:27:02.477Z","pro-free-trial","auto","No","14952","0","53248","1826","70026","0.04"
